N,P,K,temperature,humidity,ph,rainfall,soil_type,Crop
45,64,151,13.53,34.48,4.61,67.98,loamy,wheat
6,100,155,34.65,51.28,6.05,209.02,clay,pulses
133,29,59,32.4,35.39,7.35,249.46,loamy,oilseeds
112,10,99,27.66,98.72,8.23,40.01,sandy,gram
101,86,196,35.57,51.21,4.76,259.87,sandy,pulses
121,38,180,15.27,63.63,8.57,290.09,loamy,cotton
72,102,177,30.65,51.87,4.49,165.22,clay,millet
99,119,60,21.33,25.81,4.28,84.47,clay,wheat
69,5,171,31.84,96.66,4.03,243.41,clay,groundnut
95,5,66,29.78,76.98,7.58,92.59,sandy,soybean
8,15,15,19.79,88.08,8.88,250.3,loamy,pulses
14,105,94,10.61,66.67,6.32,162.17,clay,sugarcane
134,56,131,17.63,53.89,7.25,189.81,sandy,wheat
129,103,81,12.58,33.1,5.08,164.34,clay,maize
68,76,182,24.07,74.39,5.21,224.18,loamy,sugarcane
25,16,184,21.92,77.09,4.97,95.55,clay,barley
133,75,188,33.43,76.88,5.67,195.7,clay,rice
83,73,121,37.12,35.18,4.69,134.77,loamy,oilseeds
131,73,13,34.4,86.71,6.55,82.18,clay,sugarcane
138,89,34,22.31,93.95,8.42,60.3,loamy,millet
126,59,13,29.56,42.89,6.16,65.16,loamy,groundnut
38,25,98,20.12,70.71,6.96,259.27,clay,gram
112,16,103,31.99,39.22,8.02,22.18,sandy,rice
76,87,101,38.98,80.41,4.1,149.67,sandy,jowar
131,6,45,17.8,49.84,7.55,232.18,clay,jowar
34,16,88,38.76,82.61,5.02,266.18,sandy,rice
117,94,16,33.57,52.1,5.19,184.55,sandy,cotton
88,116,89,20.39,52.11,6.22,198.52,loamy,maize
27,104,56,24.91,46.96,7.72,220.6,sandy,bajra
144,14,17,32.07,93.24,6.8,78.07,clay,maize
17,39,58,34.42,37.65,4.04,98.6,sandy,cotton
80,41,55,22,58.12,5.47,23.43,clay,pulses
41,93,129,27.4,85.68,5.46,244.48,loamy,maize
9,94,171,24.71,71.56,7.37,51.66,loamy,wheat
30,24,143,28.9,86.23,8.25,167.37,sandy,oilseeds
147,43,153,10.68,77.45,8.97,263.6,sandy,soybean
87,107,111,24.97,22.18,8.69,185.17,sandy,wheat
124,16,184,15.36,26.92,5.79,84.04,clay,sugarcane
85,38,106,33.64,21.73,7.89,74.02,loamy,gram
36,69,134,30.38,29.45,7.28,223.48,loamy,barley
145,37,147,19.46,41.5,8.79,269.53,loamy,millet
35,6,108,22.7,60.43,4.84,26.86,clay,jowar
56,76,81,36.74,40.25,6.14,105.84,loamy,bajra
137,45,45,14.54,22.92,4.43,101.33,clay,barley
40,39,194,39.53,26.85,7.36,149.38,loamy,millet
1,93,73,17.43,69.14,8.98,107.39,clay,rice
94,79,64,37.33,75.87,4.1,125.7,sandy,rice
5,85,75,31.6,37.61,8.48,203.12,clay,wheat
119,96,117,26.15,46.67,8.85,57.21,sandy,soybean
147,56,63,38.37,91.86,8.7,50.78,sandy,pulses
45,67,62,31.23,75.42,7.44,180.34,clay,groundnut
135,33,154,24.28,97.58,6.14,135.36,loamy,millet
17,119,79,38.18,91.73,7.3,144.17,clay,sugarcane
108,45,18,18.07,92.18,5.29,151.42,loamy,barley
15,27,159,19.31,40.7,5.85,48.27,sandy,pulses
138,49,37,27.28,26.38,8.02,276.46,clay,oilseeds
107,90,40,14.26,75.13,4.5,213.71,loamy,jowar
66,64,99,32.44,40.91,4.74,288.45,loamy,wheat
59,32,178,15.87,48.46,6.89,41.4,loamy,maize
34,7,56,25.95,97.95,8.5,144.51,sandy,millet
120,98,121,38.44,76.59,4.15,204.01,sandy,maize
124,41,151,37.7,94.66,6.54,213.62,loamy,groundnut
35,47,127,10.52,56.08,4.57,240.87,sandy,jowar
29,105,101,17.31,24.22,5.07,43.14,clay,cotton
78,87,185,27.68,69.86,5.42,200.65,clay,groundnut
6,47,71,30.82,88.29,6.95,238.22,sandy,maize
46,46,193,19.45,49.07,8.37,90.32,sandy,gram
140,49,182,17.26,68.29,4.18,201.86,sandy,sugarcane
53,77,12,32.59,87.48,5.17,107.41,loamy,pulses
139,101,141,26.75,46.5,5.46,21.38,loamy,cotton
149,109,112,15.37,70.67,7.07,83.19,loamy,gram
108,99,72,10.37,31.92,5.88,153.01,sandy,soybean
91,20,177,11.5,62.77,6.37,179.07,clay,cotton
48,58,68,29.98,43.63,4.85,47.14,sandy,gram
124,56,78,30.65,57.11,8.27,151.89,sandy,wheat
71,115,33,39.58,20.47,5.04,201.62,loamy,maize
36,96,164,38.46,21.01,4.59,169.25,sandy,barley
137,95,74,14.29,99.26,8.26,82.38,sandy,barley
143,22,194,17.16,88.95,4.87,290.02,sandy,groundnut
18,76,40,32.4,74.47,7.55,44.92,sandy,soybean
2,28,96,19.5,75.21,6.01,111.62,loamy,bajra
36,43,68,11.47,77.5,5.64,77.01,sandy,cotton
14,116,195,37.07,40.37,4.38,111.9,sandy,pulses
5,16,18,14.48,76.49,8.34,60.18,loamy,barley
86,20,43,37.7,50.92,7.41,136.34,clay,maize
93,61,30,24.23,73.61,5.18,207.72,loamy,cotton
2,49,38,31.76,82.89,5.17,36.46,sandy,bajra
65,15,21,34.97,66.83,6.73,94.66,clay,rice
138,92,82,35,93.16,5.89,184.44,clay,oilseeds
90,55,9,29.68,25.69,8.19,233.67,sandy,groundnut
90,27,42,36.76,58.23,5.75,101.24,sandy,barley
105,71,136,33.36,36.94,5.33,40.29,clay,pulses
89,28,32,16.76,62.35,6.72,72.54,loamy,pulses
83,89,97,17.03,49.54,7.27,122.24,clay,sugarcane
137,25,113,22.74,56.52,5.08,265.53,clay,groundnut
122,82,195,23.13,48.84,8.24,81.94,loamy,oilseeds
122,106,123,10.5,55.6,7.34,120.85,loamy,pulses
116,50,12,30.47,85.19,6.73,171.98,clay,cotton
110,5,80,26.36,77.85,6.49,182.88,clay,sugarcane
127,28,69,33.5,77.03,4.59,253.5,sandy,groundnut
18,35,16,38.74,62.19,8.13,81.21,sandy,groundnut
41,61,40,26.88,23.54,4.56,80.04,sandy,gram
56,18,116,32.62,45.47,8.58,93.16,sandy,pulses
5,52,92,11.47,55.06,5.53,290.87,clay,oilseeds
130,75,5,16.46,51.38,8.01,258.79,clay,oilseeds
129,6,199,11.94,45.53,4.98,193.44,sandy,millet
65,41,185,36.38,97.09,8.1,21.55,sandy,pulses
14,110,119,38.32,82.75,8.02,50.47,loamy,millet
87,55,117,24.84,83.69,5.1,70.24,sandy,sugarcane
138,15,11,25.78,83.77,5.08,74.59,sandy,millet
107,39,36,35.18,22.45,7.17,174.67,loamy,jowar
84,31,187,37.7,35.92,4.07,126.13,loamy,oilseeds
91,100,136,26.72,49.95,8.57,29.56,sandy,jowar
31,73,160,17.25,43.15,7.99,260.16,sandy,rice
139,16,103,30.51,41.32,8.27,53.04,sandy,cotton
5,99,133,32.38,29.92,7.58,149.3,clay,jowar
79,80,177,33.9,40.9,8.21,54.3,sandy,barley
132,48,54,28.79,21.32,6.59,111.91,sandy,gram
128,87,171,17.75,57.76,6.83,100.4,loamy,maize
120,71,158,15.53,91.37,6.81,238.2,clay,wheat
11,46,95,17.02,93.88,5.06,211.91,clay,maize
28,75,55,31.75,63.82,8.05,212.03,clay,millet
145,108,22,33.25,91.07,6.68,151.11,sandy,millet
68,39,158,33.32,77.78,6.07,79.97,clay,soybean
53,30,14,12.49,69.08,6.52,29.61,loamy,soybean
79,51,181,17.97,91.05,7.15,132.37,loamy,soybean
48,46,32,36.37,61.82,8.62,176.33,loamy,gram
12,29,109,15.23,75.01,8.21,78.5,sandy,gram
71,105,195,12.71,75.05,6.11,195.83,loamy,soybean
86,106,132,35.66,40.34,5.27,267.46,sandy,bajra
16,54,136,30.75,54.33,8.37,23.65,loamy,oilseeds
65,56,7,21.82,32.49,6.83,255.83,sandy,rice
73,86,186,13.38,78.73,6.71,260.27,loamy,maize
13,101,87,11.07,90.58,8.78,47.17,loamy,pulses
42,34,179,20.36,39,4.96,197.59,clay,groundnut
124,80,84,15.79,89.35,4.78,241.78,loamy,wheat
119,52,101,30.13,86.12,7.76,258.52,loamy,oilseeds
77,56,149,18.82,22.74,7.73,73.52,loamy,soybean
74,48,29,22.71,77.22,4.83,181.92,sandy,groundnut
85,62,39,23.02,99.28,4.62,276.99,clay,oilseeds
104,90,115,16.44,31.09,7.77,213.84,clay,gram
38,69,169,17.52,40.03,5.21,208.97,sandy,cotton
106,72,148,33.73,89.94,6.16,188.96,loamy,soybean
134,118,23,21.66,68.85,6.05,245.15,sandy,barley
94,47,151,34.67,58.5,8.36,233.17,sandy,groundnut
47,16,74,15.14,57.71,6.42,218.09,sandy,oilseeds
62,44,160,13.8,20.56,4.47,137.5,clay,millet
129,101,158,24.68,85.13,4.34,290.46,clay,millet
115,64,119,33.6,20.45,8.48,255.65,loamy,pulses
83,9,17,12.61,31.65,4.79,199.18,clay,rice
89,19,192,27.96,83.22,6,30.82,sandy,millet
0,88,185,10.04,65.73,7.87,81.4,sandy,sugarcane
68,38,140,36.14,99.85,8.96,227.55,sandy,wheat
60,66,162,33.53,20.81,8.75,40.63,sandy,barley
75,67,66,28.15,71.23,4.76,227.61,clay,bajra
12,38,154,31.61,29.59,6.6,253.75,clay,barley
50,7,97,17.56,98.18,6.85,100.84,sandy,bajra
85,82,69,10.03,74.62,4.47,30.11,loamy,sugarcane
29,48,197,21.25,95.32,7.1,289.94,loamy,maize
136,7,117,16.26,56.18,7.57,163.26,loamy,groundnut
140,16,144,25.37,49.74,6.46,47.51,loamy,millet
34,31,193,21.43,79.36,4.13,235.22,clay,rice
12,67,102,11.37,20.97,8.48,281.9,loamy,jowar
143,59,96,37.96,58.18,7.39,161.49,sandy,soybean
140,31,113,17.27,31.76,4.15,210.65,loamy,sugarcane
82,91,164,22.88,20.19,7.87,280.86,loamy,barley
32,40,117,38,25.46,5.11,250.56,loamy,oilseeds
42,78,170,14.59,71.58,7.32,196.6,clay,bajra
3,119,177,11.09,97.59,8.51,298.35,loamy,maize
1,52,22,21.54,29.03,7.77,157.65,clay,wheat
70,85,157,10.06,58.28,7.26,21.14,loamy,pulses
69,80,97,35.87,85.59,4.21,245.98,sandy,gram
20,59,17,17.22,79.87,4.26,144.02,sandy,cotton
103,106,146,36.34,84.91,6.06,63.6,clay,maize
55,21,21,33.72,22.99,5,30.24,sandy,groundnut
102,26,62,19.19,79.47,5.97,72.96,clay,bajra
128,21,26,27.25,68.1,7.65,23.18,sandy,oilseeds
28,52,179,11.99,85.28,4.67,181.09,loamy,oilseeds
29,25,96,33.71,77.88,7.19,73.71,loamy,soybean
39,64,158,23.25,29.03,8.38,166.31,clay,pulses
77,70,139,36.02,29.74,6.62,257.21,sandy,cotton
63,32,143,37.56,53.95,5.18,126.24,loamy,gram
114,53,44,31.21,31.08,5.44,281.54,sandy,barley
5,104,116,18.03,72.16,7.67,58.61,clay,soybean
51,32,188,39.58,55.42,8.22,105.29,clay,jowar
140,30,39,34.81,32.22,5.51,161.85,sandy,cotton
50,109,59,36.85,84.44,8.43,140.45,sandy,oilseeds
105,75,145,20.47,24.93,8.35,236.26,clay,sugarcane
3,60,88,13.72,35.62,4.75,154.24,loamy,millet
121,37,122,20.95,44.24,5.06,285.36,clay,barley
41,21,58,25.61,85.45,4.35,198.28,sandy,barley
82,56,43,20.41,27.21,4.25,256.72,sandy,millet
39,95,71,35.72,82.9,6.56,194.81,clay,millet
90,78,7,19.08,37.58,8.65,130.21,clay,cotton
97,77,73,35.73,42.74,4.89,89.21,sandy,maize
108,17,72,11.5,52.44,8.29,275.17,sandy,rice
136,81,78,13.09,28.68,4.2,264.4,clay,barley
63,115,136,20.55,51.97,5.44,211.44,loamy,oilseeds
119,42,65,25.7,29.72,7.31,164.17,sandy,rice
118,107,40,32.29,58.29,4.49,207.44,loamy,cotton
27,100,173,35.84,36.78,4.43,273.95,loamy,jowar
77,24,168,34.91,40.33,4.54,144.18,clay,maize
24,11,28,13.41,52.58,6.44,130.6,sandy,sugarcane
11,92,161,12.53,38.89,8.53,113.57,loamy,barley
104,41,23,14.47,54.87,4.04,81.23,loamy,soybean
137,61,62,22.63,56.46,8.53,24.89,loamy,barley
14,41,29,33.9,33.3,5.84,231.89,loamy,soybean
143,103,7,37.11,25.16,6.34,120.24,sandy,cotton
34,110,116,12.12,73.2,4.95,54.16,loamy,wheat
15,36,62,19.24,55.87,8.68,229.65,sandy,groundnut
7,48,119,25.46,32.84,5.42,48.07,sandy,sugarcane
84,35,176,22.79,46.8,4.64,75.43,loamy,rice
54,73,40,27.14,33.36,5.56,217.33,loamy,jowar
29,77,181,35.64,83.38,6.88,270.45,loamy,jowar
102,104,30,33.17,56.67,8.94,25.11,loamy,oilseeds
97,55,178,26.26,33.38,8.15,217.97,sandy,gram
60,5,56,31.36,92.83,8.53,258.5,clay,wheat
9,33,134,15.34,27.37,8.15,83.36,clay,jowar
48,114,8,25.14,62.81,7.09,243.04,sandy,pulses
125,52,177,13.41,75.7,5.57,242.46,loamy,jowar
145,113,115,21.86,50.56,8.73,65.89,clay,cotton
33,67,97,14.98,45.7,6.45,209.82,sandy,pulses
81,27,74,12.5,23.26,4.61,20.07,loamy,rice
135,13,158,11.13,99.33,8.29,123.34,sandy,oilseeds
37,12,60,39.08,51.17,7.53,284.55,loamy,maize
11,69,64,14.99,49.54,4.53,126,sandy,bajra
20,9,163,26.9,71.07,5.76,78.93,clay,jowar
53,14,124,23.36,26.83,5.86,258.3,sandy,cotton
43,95,118,25.81,45.15,4.41,233.24,clay,maize
82,36,183,12.62,74.42,4.09,186.16,clay,oilseeds
131,110,185,27.27,64.46,4.23,116.86,sandy,sugarcane
144,97,144,38.54,66.69,8.74,95.69,loamy,oilseeds
105,9,19,33.58,74.71,4.66,205.79,sandy,gram
115,89,103,11.75,38.96,4.31,102.42,clay,rice
10,24,56,32.78,43.39,8.24,118.98,clay,oilseeds
95,23,93,24.13,64.33,6.24,237.79,clay,pulses
135,111,89,16.94,61.98,7.52,283.81,clay,maize
114,19,25,30.48,71.29,8.37,36.59,sandy,gram
63,24,64,30.94,44.78,5.4,184.24,loamy,oilseeds
20,48,77,25.38,66.06,8.68,110.46,sandy,bajra
14,53,30,36.69,29.58,4.17,129.93,clay,bajra
148,56,15,21.83,30.36,7,213.02,loamy,groundnut
109,12,27,26.02,42.22,4.75,46.98,sandy,wheat
109,9,124,29.36,77.51,4.52,61.74,loamy,cotton
60,57,185,16.15,91.9,7,60.12,sandy,sugarcane
19,22,109,25.59,24.91,6.38,171.46,clay,rice
145,38,168,17.32,27.32,7.13,63.25,clay,gram
31,81,148,28.2,89.83,7.4,283.12,clay,maize
147,36,23,31.13,64.3,6.36,203.02,sandy,pulses
97,70,149,29.85,93.54,5.37,236.49,clay,wheat
86,77,140,34.41,25.67,7.69,226.44,loamy,gram
135,60,64,31.11,90.15,4.1,116.45,clay,sugarcane
16,31,115,13.15,99.65,4.38,250.52,sandy,sugarcane
107,66,146,35.98,84.09,7.11,127.35,sandy,cotton
12,79,79,16.2,40.91,6.06,252.53,loamy,soybean
34,117,158,30.67,40.5,5.36,262.64,sandy,millet
22,96,47,10.56,74.07,4.59,77.25,sandy,rice
131,112,176,18.81,99.55,6.63,135.08,loamy,sugarcane
44,88,21,29.34,43.41,8.3,152.96,sandy,maize
71,110,148,25.7,44.52,7.89,169.07,loamy,gram
139,31,52,16.28,58.06,4.44,196.19,clay,gram
17,30,103,17.94,57.78,5.35,114.77,clay,gram
3,77,22,32.15,98.9,7.89,146.51,sandy,bajra
123,25,99,36.25,93.13,7.89,186.43,sandy,groundnut
88,21,191,15.06,62.37,4.6,92.02,clay,sugarcane
9,18,160,14.33,54.31,7.77,208.9,loamy,pulses
95,33,191,15.59,83.29,7.2,169.3,sandy,groundnut
116,34,158,33.01,50.2,6.79,264.18,clay,groundnut
17,5,51,36.24,37.66,7.78,216.95,clay,barley
64,34,139,17.52,77.5,6.86,261.71,clay,soybean
61,43,195,16.43,95.52,5.88,173.23,sandy,cotton
37,49,115,30.26,49.14,5.66,256.61,sandy,bajra
32,26,114,18.13,30.1,8.96,298.74,sandy,wheat
103,103,48,21.26,32.05,6.67,131.36,sandy,jowar
52,66,98,13.31,82.29,5.15,20.21,sandy,bajra
7,20,11,25.6,81.39,5.51,277.99,sandy,maize
47,45,151,17.36,98.19,6.58,174.69,clay,maize
64,46,138,13.71,46.42,6.42,199.3,sandy,soybean
119,36,29,33.78,77.7,5.44,159.27,clay,gram
95,30,141,10.1,22.89,5.42,73.52,clay,wheat
34,17,8,18.28,85.21,7.41,48.49,clay,pulses
69,62,16,20.69,69.85,6.6,152.9,loamy,jowar
9,48,20,27.07,47.35,6.66,22.56,clay,cotton
72,109,37,17.4,39.52,5.55,205.92,sandy,gram
81,89,194,19.11,79.95,8.91,195.93,clay,jowar
38,50,62,18.93,95.36,4.06,174.49,clay,groundnut
27,119,187,20.12,78.98,5.1,274.88,clay,jowar
39,37,72,16.78,21.34,8.96,230.16,clay,maize
119,27,72,32.62,80.11,6.49,203.33,sandy,cotton
94,21,27,36.7,27.9,5.67,102.57,sandy,oilseeds
133,93,190,26.04,97.93,6.76,251.81,loamy,rice
78,57,77,19.76,54.75,6.53,92.73,loamy,groundnut
61,118,86,26.05,30.53,5.33,25.5,sandy,barley
104,66,32,32.27,76.06,4.8,56.17,clay,gram
41,100,179,36.53,93.41,6.77,124.49,sandy,gram
58,21,170,36.61,59.77,8.67,87.01,sandy,wheat
130,102,65,28.15,48.45,8.24,257.58,loamy,maize
146,97,62,14.36,56.36,7.49,133.71,clay,pulses
130,23,28,34.72,84.14,5,278.88,clay,cotton
59,86,65,32.98,85.45,7.58,62.51,loamy,bajra
44,7,198,26.95,60.93,5.51,34.36,loamy,groundnut
146,89,56,23.08,33.97,7.1,43.46,loamy,groundnut
59,5,95,31.07,21.98,5.91,107.76,sandy,gram
106,116,34,10.22,52.53,5.42,234.04,loamy,soybean
144,118,106,35.68,96.48,8.91,294.83,clay,groundnut
65,53,190,17.45,20.88,5.76,250.73,clay,soybean
39,48,155,33.08,73.24,7.29,215.17,loamy,barley
117,111,98,30.78,68.18,5.2,27.31,sandy,pulses
22,39,28,39.79,27.53,8.14,117.27,sandy,groundnut
44,41,30,26.74,27.03,4.06,227.32,loamy,oilseeds
74,73,137,27.91,21.06,5.63,67.95,sandy,rice
45,35,55,11.13,35.63,5.65,211.37,sandy,soybean
123,18,60,36.4,53.13,4.73,95.76,clay,oilseeds
25,81,105,39.08,37.59,5.15,297.64,clay,wheat
90,35,69,31.14,99.33,7.03,285.21,clay,cotton
112,33,63,17.88,95.36,7.48,293.78,clay,cotton
18,83,9,32.34,57.17,6.57,168.34,sandy,bajra
1,52,81,34.97,93.19,4.33,263.99,loamy,barley
39,19,169,35.69,46.9,6.11,93.4,sandy,gram
28,91,115,10.83,25.63,6.39,115.97,sandy,bajra
67,100,35,14.45,87.92,5.72,157.81,clay,jowar
12,67,72,11.39,27.64,8.99,99.01,sandy,groundnut
126,7,185,31.4,43.91,7.91,274.54,sandy,millet
24,116,88,25.87,44.39,7.32,253.45,clay,gram
67,104,120,25.41,51.64,6.55,177.68,clay,pulses
0,71,112,18.64,55.3,4.7,129.51,clay,pulses
72,98,38,33.53,28.47,8.19,113.5,sandy,oilseeds
57,50,21,38.49,66.95,6.4,206.71,loamy,soybean
31,62,162,32.32,45.08,5.63,39.76,loamy,oilseeds
66,88,65,35.66,50.06,7.15,82.52,loamy,sugarcane
69,76,171,34.96,20.86,6.45,27.37,loamy,jowar
47,28,53,20.28,33.02,4.97,60.53,loamy,pulses
90,95,53,36.35,90.53,7.64,172.21,clay,sugarcane
138,32,12,31.51,21,4.94,81.22,loamy,rice
105,83,71,32.78,27.7,5.34,176.03,loamy,millet
41,63,192,38.76,39.76,4.18,112.41,sandy,millet
87,100,77,38.81,40.88,7.06,89.39,sandy,millet
113,82,120,15.79,25.23,8.44,88.2,clay,sugarcane
136,36,174,32.01,74.71,8.59,36.62,clay,oilseeds
74,107,135,22.76,27.9,7.72,151.71,sandy,groundnut
107,50,65,28.17,32.6,5.19,210.57,clay,groundnut
126,65,9,22.86,89.75,6.98,256.41,clay,soybean
100,12,10,34.85,56.14,7.21,37.05,sandy,wheat
107,92,97,11.13,66.05,8.81,281.17,loamy,oilseeds
64,55,123,39.86,35.45,4.62,114.48,sandy,wheat
105,87,61,32.74,80.22,7.82,142.22,clay,oilseeds
95,19,25,15.82,59.26,5.31,260.44,loamy,cotton
149,12,64,11.47,68.43,5.13,82.16,clay,pulses
146,10,9,29.47,31.97,5.72,65.22,clay,sugarcane
110,117,8,36.4,24.51,6.84,218,clay,groundnut
20,19,142,30.34,76.77,6.88,258.34,clay,groundnut
133,47,195,15.52,97.59,7.08,225.74,sandy,oilseeds
132,37,174,20,55.91,4.48,227.26,loamy,sugarcane
93,92,139,15.42,33.83,5.01,240.57,clay,oilseeds
132,18,136,20.66,30.21,8.26,179.3,sandy,sugarcane
134,11,113,38.77,32.88,7.05,148.83,clay,soybean
44,75,31,15.11,59.73,6.85,262.23,clay,pulses
17,32,34,15.19,79.18,7.81,173.09,clay,bajra
24,27,69,14.84,42.88,7.84,117.25,sandy,soybean
101,39,20,11.8,99.37,4.48,121.22,sandy,oilseeds
6,107,41,27.77,22.03,8.79,47.58,clay,sugarcane
86,38,50,31.07,77.74,6.1,126.83,sandy,maize
140,33,185,16.76,69.89,4.24,248.3,sandy,rice
93,107,58,16.12,67.51,7.25,149.22,clay,bajra
43,78,177,27.1,78.21,5.86,36.25,sandy,rice
24,84,191,14.77,73.93,8.44,241.27,sandy,barley
131,31,178,12.82,39.4,5.65,82.56,sandy,pulses
8,82,89,27.73,81.13,8.49,124.84,loamy,soybean
142,51,96,26.02,35.51,7.1,267,sandy,soybean
119,54,17,16.8,43.25,7.02,94.39,loamy,rice
125,80,138,30.67,45.47,5.88,194.44,clay,bajra
134,88,111,14.06,47.3,4.38,124.04,clay,cotton
115,89,8,25.57,43.21,4.91,87.96,clay,jowar
99,64,163,13.27,48.82,7.17,196.15,sandy,jowar
97,98,159,17.4,31.84,6.48,294.17,loamy,millet
6,72,179,11.4,75.86,7.51,187.62,loamy,oilseeds
79,47,54,22.85,43.03,7.81,225.95,sandy,soybean
51,5,14,36.11,30.04,6.31,253.51,loamy,maize
65,21,93,31.48,56.44,4.01,162.95,loamy,gram
8,38,182,22.34,27.7,8.58,39.04,clay,wheat
53,42,59,10.08,55.92,8.89,145.98,loamy,oilseeds
59,10,135,22.44,57.05,8.16,161.88,sandy,sugarcane
46,69,198,11.44,74.44,5.89,297.03,loamy,wheat
32,42,188,25.22,82.16,6.16,104.58,loamy,millet
126,106,89,31.54,31.22,4.9,99.15,clay,groundnut
149,65,40,22.26,30.78,8.43,294.47,sandy,rice
92,67,85,10.25,78.95,7.24,37.4,sandy,cotton
148,11,109,15.65,85.82,7.69,39.14,clay,wheat
15,51,148,38.49,22.74,5.24,147.33,clay,millet
141,114,69,26.18,46.85,4.79,140.3,clay,barley
92,48,190,20.51,24.33,8.36,250.23,clay,barley
7,96,142,24.94,35.51,5.43,107.37,sandy,rice
1,27,88,16.33,26.81,8.99,227.24,clay,soybean
115,27,82,11.51,47.62,4.14,224.05,clay,millet
121,92,104,23.32,57.26,8.14,248.21,clay,bajra
24,47,128,29.12,80.94,6.73,296.15,sandy,millet
13,12,46,19.79,58.53,6.25,66.45,sandy,millet
98,86,6,36.83,32.42,5.92,72.18,sandy,barley
49,71,73,32.06,82.53,7.88,161.32,loamy,barley
127,68,125,10.48,68.5,4.32,258.53,sandy,bajra
63,84,181,15.07,66.7,8.25,117.99,sandy,wheat
130,6,82,39.66,99.51,4.07,80.75,clay,pulses
26,85,142,23.61,57.51,8.28,183.84,sandy,sugarcane
140,32,121,35.15,76.7,7.01,280.58,loamy,wheat
98,60,162,39.38,45.55,6.97,195.88,sandy,gram
32,50,132,17.28,96.8,6.44,59.29,sandy,pulses
148,65,100,35.88,64.81,4.22,54.36,clay,jowar
6,36,195,29.75,33.21,5.23,125.81,clay,maize
31,50,116,11.36,74.09,5,56.76,loamy,soybean
126,106,109,39.71,96.02,4.51,154.54,loamy,rice
52,13,83,21.24,38.92,7.6,208.56,sandy,groundnut
32,101,92,14.9,51.32,5.13,132.07,clay,jowar
17,38,61,16.95,28.13,4.6,250.2,sandy,cotton
23,40,162,17.6,79.74,7.17,70.31,clay,bajra
141,94,63,38.57,45.22,6.01,247.03,sandy,wheat
33,82,93,27.94,21.04,5.47,95.29,loamy,gram
0,33,189,27.63,63.13,4.14,128.38,sandy,pulses
48,62,106,18.05,31.1,6.72,106.54,clay,pulses
21,69,66,27.97,32.64,6.99,55.25,clay,wheat
107,62,88,10.75,29.7,8.3,287.71,sandy,bajra
24,85,171,35.92,37.06,4.31,261.61,loamy,pulses
64,67,170,28.94,36.15,7.94,207.1,sandy,pulses
28,26,170,14.7,93.6,6.91,225.3,loamy,wheat
5,23,16,37.42,80.15,6.56,250.81,loamy,pulses
65,90,128,37.34,36.58,4.67,192.85,clay,pulses
24,79,16,30.35,31.22,7.9,140.05,sandy,oilseeds
115,100,147,24.29,43.66,7.96,69.73,sandy,gram
141,5,77,35.13,81.13,4.71,232.48,clay,groundnut
77,62,50,38.36,69.18,8.65,233.07,clay,soybean
96,95,7,32.48,57.58,7.74,267.3,clay,maize
